,values,score
21,"0.00889347990381*center 0.00812858016214*17, 0.00763636029523*bill 0.00745882350143*including 0.00742361241609*14, 0.0073410788799*washington 0.00733557405649*state 0.00732284335532*states 0.0073109448289*22, 0.00717355973499*see",-35.9490982078
22,0.0684262163458*german 0.0576146854302*friedrich 0.0389580813377*von 0.0377947997287*works 0.0350088649494*johann 0.0289558369854*heinrich 0.0264521551224*georg 0.0260612592554*work 0.0251277863594*first 0.0238066732953*published,-36.0919962353
23,0.0243955789609*stone 0.0202122393416*och 0.0202122386769*humanism 0.0202122384701*feuerbach 0.0164106114238*hell 0.0122152608802*german) 0.0122152603797*tribune 0.0122152603517*isaacson 0.0122152602526*albany 0.0118067260201*niels,-36.7639026364
24,0.0213402480208*anarchism 0.0209835780441*free 0.0199538103276*revolution 0.0182137470671*social 0.0172206285343*anarchist 0.013934599603*their 0.0131487753397*democracy 0.0129550505648*politics 0.0117229154145*such 0.0113287756463*state,-36.8296180211
25,0.025717430808*knowledge 0.0217190751766*theory 0.0214357038866*philosophy 0.0157279996354*philosophical 0.0151446471881*does 0.0148641587737*thought 0.0142931768242*related 0.0139951985631*other 0.0130032993895*will 0.0127813787163*also,-37.0841734633
26,0.12654180596*greek 0.0803098813071*diogenes 0.0660936156348*ancient 0.0404235231834*philosophers 0.0400873767734*kings 0.0300087958631*c. 0.0298991336819*philosophy 0.0250767636705*also 0.0247518159675*zeno 0.0245806026652*university,-37.5707255858
27,0.0213026162031*mathematics 0.0201420014254*mathematical 0.017790310946*university 0.0174901679721*theory 0.0164102574537*science 0.0160244698117*j. 0.0159877583593*scientific 0.0159204924431*john 0.013692167894*also 0.0126298562324*research,-38.3738794742
28,0.0455694985104*florence 0.0300734285319*medici 0.0299096529256*hassan 0.0240410134747*egyptian 0.0229709958745*cairo 0.0215479658522*villa 0.0173870933636*family 0.0151972382175*also 0.0140892139645*university 0.0130225083656*de',-39.3953035264
29,0.0297549165815*jane 0.0200095900653*agency 0.0148941652798*dispositions 0.0148941652793*reflexive 0.0148941651321*argue 0.00667197176831*structures 0.00553156740311*february 0.00542302951392*same 0.0053797021262*john 0.00514338571794*&c.,-39.7901868327
30,"0.0196919720521*philosophical 0.0193115645442*nature 0.0184664008879*philosophy 0.0183531616217*human 0.0174677248753*philosophy, 0.0162629193773*being 0.015260597323*things 0.0140306322218*press, 0.0139575857414*our 0.013167719084*other",-40.4140724954
31,0.076444394321*christian 0.0686794748797*theology 0.0677432853658*god 0.0660258552169*religious 0.0581257527862*religion 0.0491302711666*william 0.0335433001591*theological 0.0334827869438*church 0.0319191456609*john 0.0271399390179*christianity,-40.4224152768
32,0.0280677134288*publications. 0.0138240441938*baker. 0.0138240425458*cycle 0.0136239025248*progressive 0.0135053688154*p. 0.00952173133316*raven 0.00651898831033*culture 0.00557787388142*& 0.00500047621833*edited 0.00495895829357*practice,-41.3218466389
33,0.0920021055838*vol. 0.0853779060046*pp. 0.0651090675546*no. 0.0634613785185*p. 0.0609330360764*new 0.050203025688*york: 0.0464823464669*university 0.0407116158792*& 0.0283577544249*in: 0.0278173644291*works,-41.9051018031
34,"0.0394256378776*n. 0.0246604498983*scholarly 0.0185760533359*ontos 0.0156827218268*verlag, 0.0150823613589*nicholas 0.0148186559782*revue 0.0124897373202*philosophie, 0.0115733100994*international 0.0115296486896*process 0.011037040534*2006.",-42.0931730428
35,0.0349223833782*cannot 0.0226800042267*absolute 0.019487401511*reality 0.0156348604646*idealism 0.0151783457592*external 0.0140235624484*present 0.0109160979318*literacy 0.0103310518988*way 0.00961624866578*must 0.00956993722347*also,-42.2644396941
36,"0.0319498640626*cardinal 0.0248879968135*roman 0.0235668238024*constantinople 0.0182159749733*ii 0.0175408725557*liturgical 0.0155953652019*stephen 0.014571675265*ii, 0.0145566167487*catholicism 0.0134278191816*john 0.0129434708734*papal",-42.4559057102
37,0.021114164851*experience 0.0133763058297*thinking 0.0130959211202*itself 0.0113254552538*subject 0.0101940791767*school 0.00972435251811*child 0.00938510059268*study 0.00904660043335*thus 0.00858078200269*own 0.00852869274469*through,-42.7911328454
38,"0.0543819547257*ralph 0.0372194260463*pakistan. 0.0366251006098*department 0.0183314892322*genoa 0.00633039247591*philosophy), 4.27564495995e-05*1971 3.48556062973e-05*january 3.44571658852e-05*jamaat-e-islami 3.44477550141e-05*party 3.44290236271e-05*philosophy",-43.2090761871
39,0.0447428483256*ibn 0.0389816387605*abu 0.0344196894826*century 0.0333722891858*al-din 0.0317299998432*medieval 0.0284404490739*muhammad 0.0260641161972*arabic 0.0247140661948*islamic 0.0214991870787*ali 0.0180919996426*abū,-43.2093370183
40,"0.0251026456836*spd 0.0217180863533*1973, 0.0181550103154*jstor 0.0179863316114*legislation 0.0146033749043*universals 0.0146033745152*raised 0.0146033742245*disabled 0.014599445517*families 0.0132137649689*metaphysics 0.0111200452582*relations",-43.2921402199
41,0.0186306943532*military 0.0129567971479*invasion 0.0124297803236*service 0.011596102111*foreign 0.0114348400097*doctrine 0.0111218380049*u.s. 0.0111193578597*soviet 0.0105873047119*operation 0.0102794792113*policies 0.00996340509688*relations,-44.2263927352
42,"0.0342417738377*un 0.0284822269091*ce 0.017213225506*jaime 0.0172132249562*kim's 0.0172132214899*kim 0.0125962542352*around 0.0118561333985*søren 0.0118561332978*kierkegaard, 0.011720975555*rousseau 0.0114979384952*coup",-44.2859817124
43,0.0538771913522*louis 0.0361947336513*jean 0.0333583670571*charles 0.0315736483252*prince 0.0291214532675*françois 0.0280209797784*antoine 0.0270147386113*von 0.0266611286087*marie 0.0255021558817*pierre 0.0241742182671*jun,-44.6517298071
44,"0.0272683278171*northwestern 0.0191277725656*narrative 0.0191276766927*limits 0.0165117181379*treatment 0.0158399898796*( 0.0158399856131*physicians 0.0129323772913*1970, 0.0128607180577*dc 0.0122342903987*use 0.010770067396*p.",-44.7738246386
45,0.0185977378308*performance 0.0184615250601*performed 0.0146219259904*theosophical 0.0132999441618*recorded 0.0132999076167*songs 0.013283096421*titled 0.0132272878227*released 0.0128175319223*concert 0.0120455755884*don't 0.01184145309*album,-44.8832367797
46,0.0372723744592*music 0.0238227286375*musical 0.023451413237*completed 0.022555363651*section 0.0190530836804*piano 0.017295971908*composed 0.0171406663152*composer 0.013181744834*first 0.0125089833653*therefore 0.0111303857797*also,-45.6885431151
47,0.0633037878123*muslim 0.0612535713319*islamic 0.0591885745025*muhammad 0.0446601893311*ali 0.0390931581079*islam 0.0370457748314*also 0.0273429668995*retrieved 0.0272979356314*pakistan 0.0272190714845*after 0.026025736171*muslims,-45.9862076436
48,0.0206994443933*resistance 0.0157285521816*gandhi 0.015650597776*(2007). 0.0119144761582*leadership 0.0109687550911*satyagraha 0.0109275986913*vegetarian 0.0109275978368*representation 0.0106959936187*king 0.0101123179276*empire 0.0096916702911*well,-46.4104329277
49,"0.0488241365083*baptist 0.0247266983421*ernst 0.0126768795982*cheng 0.00635571550595*(chinese: 0.00635571550595*hao 0.00635571550595*bloch, 0.00635571550595*baptists 0.00635571550595*hope 0.00635571550595*bloch 0.00635571503525*nitze",-46.4371496161
50,0.0361486607778*2008 0.0273822613222*center 0.0160326849789*income 0.0158612869292*reserve 0.0140609522402*member 0.013844788241*tax 0.0126441069145*international 0.0125238729609*october 0.0124972334199*criticized 0.011328427795*war,-46.5997821502
51,0.0528271624753*social 0.0443100755562*sociology 0.0367164204635*society 0.0360151781358*theory 0.0282802210568*new 0.0237984151272*sociological 0.0210038032033*university 0.0194735076822*academic 0.0187693961074*critical 0.018497587009*political,-46.6314575318
52,0.0469090293515*animal 0.0389247073817*animals 0.0253531836364*rights 0.0250593055846*more... 0.0237904021384*human 0.0200294644568*should 0.0191765846584*views 0.0171878560573*· 0.0170761647679*thomas 0.0159547255596*ethics,-46.6469095616
53,"0.0189995924849*encyclopædia 0.0153656620513*caused 0.0139201725935*1974, 0.0138611449207*result 0.0114690562871*treaty 0.0114361594763*powers 0.0102051164658*empire 0.00997449683166*movement 0.00985501549924*athens, 0.00981492576287*greek",-46.7710605024
54,0.0348899329616*first 0.0332072956685*history 0.0327705340095*william 0.0315561070798*john 0.030320946686*national 0.0293177566807*english 0.0264224039424*life 0.0246310869199*robert 0.024140234*after 0.0234493460194*england,-46.8462371245
55,"0.0323778779125*swedish 0.0243874909459*trans 0.0201955809767*mansfield 0.0163970973475*union, 0.0163970966012*""sir 0.0129823283182*lecture 0.0122052020382*johan 0.0122052014501*gabler 0.0122052008638*due 0.0121203838211*king's",-46.8647481692
56,0.18566106542*und 0.0978214298167*die 0.0761293668135*des 0.0616410366794*von 0.0465981791134*german 0.0351825876798*das 0.0301080711711*philosophy 0.0246219128615*hans 0.0239995669135*university 0.0229998358456*karl,-46.9679606946
57,0.0185058065198*prophets 0.0185055590798*(2003). 0.0148430089487*lane 0.0131016480173*epistles 0.0129213158235*medina 0.0129213146769*(arabic: 0.0129213144891*umm 0.0129205432215*scripture 0.0118488689783*architectural 0.011755389071*abdullah,-47.3853562687
58,"0.0331410774848*gustave 0.0222826323946*(oxford, 0.0165861075215*littlefield, 0.0165861067815*pater 0.0122075535486*novel 0.0060061170494*& 0.00582151202337*david 0.00578269167454*richard 0.00572766544828*teaching 0.0057276620156*solomon",-47.5220506232
59,0.0313656416747*fascist 0.0218682072786*fascism 0.0187660141265*debates 0.0155403778251*dialectic 0.0155403777147*schmitt 0.0155403776478*superior 0.0154621736993*positive 0.0129567421225*war 0.0118319515784*(january 0.00986938416476*forms,-47.9239096048
60,0.00741636495547*hodgskin 4.03168669638e-05*thomas 4.03167871468e-05*social 4.03167178791e-05*libertarian 4.0316696117e-05*political 4.03166502681e-05*libertarianism 4.03166450847e-05*socialist 4.03166395063e-05*anarchism 4.03166243133e-05*my 4.03166197941e-05*economics,-48.6304990048
61,0.0418686528786*founder 0.0407316527317*basel 0.0291847125837*delle 0.0121485531377*nae 0.012148553115*ionescu's 0.00629809473805*j. 0.00629167316312*met 0.00609083228773*acquitted 0.00609083228773*stefano 0.00609083228773*chiaie,-48.7144773
62,"0.0218766586827*individual 0.0159978111918*different 0.0134230679995*through 0.0126338210926*development 0.0125474667985*system 0.0123628880439*society, 0.0119407763729*within 0.010710184215*own 0.0104134511767*developed 0.0100887308209*human",-48.8112250631
63,"0.052782606357*club 0.020285374081*khomeini 0.0164699926525*iran, 0.013020227472*seen 0.012259461856*serie 0.012259461856*aristippus 0.012259461251*withdrawal 0.0122594612426*mohamed 0.0122594612297*iran–iraq 0.0122594593574*(2001),",-49.0191474477
64,0.176959936154*indian 0.0577209543096*sanskrit 0.0465547281498*chandra 0.0385420866549*movement 0.0314139774397*bengal 0.0234679480817*calcutta 0.019503994832*; 0.0195030014454*bengali 0.00597212093979*college 0.00505698573145*society,-49.0284485742
65,"0.0604599408912*orwell 0.00696824445717*al-tijani 3.84655733432e-05*british 3.81636787679e-05*september 3.81308571274e-05*2013. 3.78848792713e-05*ukip 3.78847807891e-05*sunday 3.78840060686e-05*hitchens, 3.78836947512e-05*retrieved 3.78828373311e-05*peter.",-49.2642900215
66,0.0364977749752*experiments 0.0257519116492*position 0.021198662974*electric 0.0207194135482*light 0.0198957630909*scientists 0.0196840268317*laboratory 0.0182666532986*discovered 0.0168291738921*church 0.016379850207*space 0.0161627984101*known,-49.5064135455
67,"0.0297334071573*'the 0.0253739071111*relations, 0.025373762815*degree 0.0214217700423*sally 0.0170603217675*ismail 0.0170603198504*zai 0.0134858241912*research 0.0126988735938*dera 0.012698873185*'a 0.0126988731188*mutual",-49.6706446237
68,0.0208817814528*health 0.020485816114*really 0.0202595506718*ignatius 0.0199844562639*student 0.0179399138855*york: 0.014807302498*person 0.0147991506246*new 0.0147144006627*mental 0.0136766557864*contributions 0.0128757896507*university,-49.8737730235
69,0.0503975157685*du 0.0370870770317*jacques 0.0362895767861*france 0.024695533955*à 0.0179153713539*pierre 0.0175336413876*marquis 0.0164732952866*françois 0.0153992253864*« 0.0134628802667*jean 0.0128124953861*first,-50.1163588001
70,0.0512492578581*new 0.0488049607802*american 0.0461222829123*university 0.0263449359298*also 0.0231905737943*social 0.0222755953888*york 0.0220851948849*political 0.0192802896017*book 0.0183072444958*york: 0.0180542600617*review,-50.1824413617
71,"0.0902545400545*virtue 0.0417671360393*den 0.0321948134613*allama 0.0230683574841*stockholm 0.0187295356728*milan 0.0139413552559*aires, 0.0139413549242*anders 0.0139413548869*totalitarian 0.00782143741634*also 0.00715968048726*ethics,",-50.3575193827
72,"0.088228271519*jamaat-e-islami 0.0375908253708*abul 0.0327241520075*ottoman 0.0234472454073*lahore, 0.023447245358*qazi 0.0234472451582*ala 0.0107201075231*believed 0.00717734487974*islamic 0.00630896423629*education 0.00489342641056*elmalılı",-50.6224067983
73,"0.0750970649297*master 0.0284226537474*buddhism 0.0245578453518*exist 0.0244480584774*buddhist 0.0235379271591*tibetan 0.0191912048258*trans., 0.0175254215588*hopkins 0.00972210392661*empty 0.0064022024619*press. 0.00622601773765*texts",-50.7932054606
74,0.0156483842495*treaty 0.0144288041932*federal 0.0133909393366*politics 0.0129533855864*adams 0.0123690319256*college 0.0116143325705*jr. 0.0112213959136*america 0.0110287519004*old 0.0106515717125*elected 0.0102714667426*presidential,-50.9797283671
75,0.0525541297529*iraq 0.0510654683695*iraqi 0.0459203492367*revolutionary 0.035095075007*hussein 0.0324235014218*2003 0.0266001308856*ba'ath 0.0257546919291*saddam 0.0193988083737*+ 0.0148779998094*ba'athist 0.0144908234519*command,-51.0738937956
76,0.0472542341022*voice 0.00706619472958*sphaerus 3.84151894315e-05*university 3.8414099608e-05*περὶ 3.84139825497e-05*school 3.84139729586e-05*diogenes 3.84138932926e-05*political 3.84138778246e-05*& 3.84138365079e-05*— 3.84137737064e-05*·,-51.2730717095
77,0.0224377265199*anderson 0.0167015516665*observation 0.0167015304375*obligation 0.0115037023739*rest 0.0109653879903*elisabeth 0.00625213140635*oxford 0.00599269500097*our 0.00582278867008*arthur 0.00576752847348*lask 0.00576752847348*considerant,-51.276409289
78,0.0325647426566*canadian 0.0249205761265*1. 0.024577543493*giving 0.0216083744669*religion. 0.0212653402223*effective 0.0176101015159*divorce 0.0156661616732*small 0.0146638099927*critique 0.0109113296945*university 0.0106426618948*votes,-51.4901210625
79,"0.0330794139123*artist 0.0328426199715*art, 0.0315233626426*art 0.0314815760001*artists 0.027399097268*artistic 0.0264373606297*museum 0.0250897440307*exhibition 0.0218758834473*portrait 0.0208027962809*art. 0.018648905692*indonesia",-51.7760604371
80,0.02190933758*hannah 0.0216736494351*ein 0.0146108000435*pleasure 0.0146107899517*jerome 0.0146106798517*gods 0.0120993927716*pain 0.012099391795*immanuel 0.0113705244485*condition 0.00982367317875*arendt 0.00942406237215*civil,-51.9637794447
81,0.0295144860277*distribution 0.0225893445737*brothers 0.0184095604566*map 0.0184095602704*deborah 0.0149470134225*cause 0.0149469903067*judith 0.0149469900995*grey 0.0111264803471*documentary 0.0111258124281*thomson 0.0111258124281*wiesel,-52.2942116225
82,0.0105178054722*purpose 0.0103642072351*probably 0.0098820937818*earlier 0.00931217735796*specific 0.00926733798954*poets 0.00761918289652*different 0.00685864604252*possible 0.00675142207866*ii 0.00618201849086*text 0.00616486470739*young,-52.3976834238
83,"0.0210129856351*1983, 0.0199747956476*(archived 0.0196998406243*posthumous 0.0146119193729*journey 0.0143901247769*tribes 0.0141151696565*geometry 0.0141151696565*lionel 0.0141151661849*remains 0.0141104362029*monastery 0.0128005199242*wayback",-52.6027415797
84,0.0217419030226*herodotus 0.0217418498252*greeks 0.018692127321*canadian 0.0158706328044*either 0.0158423927908*canada 0.0155761399504*mechanics 0.0154408035883*toronto 0.0131348788269*george 0.0126482740891*extended 0.0123555531132*political,-53.1209061571
85,0.0335496847163*president 0.0311961320464*party 0.0308452923682*united 0.0214462992989*american 0.0196698506568*war 0.0187320618249*democratic 0.0177638709357*states 0.0175566712189*conservative 0.0173735385239*bush 0.0158716877553*october,-53.1861103094
86,0.0278337417338*alan 0.0221590688476*comic 0.0218540471452*neil 0.0156586854283*execution 0.0156586840398*comics 0.0134967208512*2007. 0.0131988231158*le 0.0127135138195*yes 0.0127134566934*“the 0.0115974378117*character,-53.2438080387
87,0.0512390535433*cultural 0.0479757077578*culture 0.0211546156519*historical 0.0210557362185*race 0.0156468876622*european 0.014763274759*new 0.0145263401976*sexual 0.0140095634778*anthropology 0.0136034425482*history 0.0124963647451*many,-53.5090576403
88,0.0674061826879*peter 0.0617775081212*john 0.0524737398518*philosophy 0.0426687880615*university 0.0416721729528*theory 0.0346727069798*a. 0.0341379307266*language 0.0335586082927*press. 0.0323514904033*david 0.0308996594816*/,-53.8514141379
89,0.0257142449043*renaissance 0.0254937281122*socrates 0.0219667078045*trial 0.0203582111613*military 0.0129711707941*athens 0.0123682589822*century 0.012122791602*against 0.0118053165108*classical 0.0111308320367*— 0.0108405254259*(the,-53.8626059747
90,0.0172160990667*warren 0.0169152764299*harry 0.0155223747637*singh 0.0142441993582*khan 0.0134135253127*ram 0.01336282793*j 0.0115407332478*education 0.0101586427092*social 0.00992777367438*independence 0.00979816533065*mahatma,-53.8825040682
91,"0.0459311132746*hasan 0.0230142253436*festival 0.0176572761994*salman 0.01710639455*satanic 0.0117825505991*ul 0.00596907321862*iran 0.00592994685461*works 0.00590733232626*chernyshevsky 0.00590733188513*rushdie, 0.00590733187551*rushdie's",-54.1137291144
92,0.0915255119027*economic 0.0570348349688*economics 0.0553669457856*journal 0.0422591171438*university 0.0385069190433*political 0.0341001891188*theory 0.0326175640947*social 0.0309160971122*press 0.0304459567753*economy 0.024415387067*cambridge,-54.3298599526
93,"0.0851761698016*marxist 0.0729366522675*karl 0.0705985127187*marx 0.0584815466658*marxism 0.0574917950185*class 0.0301988455457*marx's 0.0270720762573*page 0.0247458179086*marx, 0.0230033118984*ideology 0.0204491419093*philosophy",-54.4853905512
94,0.0477820922909*ibn 0.0343919148287*abu 0.0318965514862*• 0.0316634151341*/ 0.0294941810961*hadith 0.0291049174898*muhammad 0.0259974436969*islamic 0.024563062432*bin 0.022499195748*jurisprudence 0.0219474595815*sunni,-54.6489218661
95,0.0587003505421*empirical 0.0429807127432*science. 0.0385636315152*method 0.0338817002261*evolution 0.0297221652898*whether 0.0248735789635*evolutionary 0.0199035716616*very 0.0182856122751*cannot 0.0180127412192*karl 0.0167686140612*rationalism,-54.7546932764
96,"0.155556070627*paris: 0.106355050541*à 0.0572147742602*gallimard, 0.0286120401275*raymond 0.0123067954502*calmann-lévy, 0.0099206444906*london: 0.00847668024631*opium 0.00847667994245*agrippa 0.00748394223689*political 0.00437736816206*&",-54.7805825092
97,0.0783504972501*mystical 0.0483506647949*bernard 0.0196083551287*ma 0.0145955062923*voluntary 0.0145955056166*spivak 0.00899725703267*theory 0.00520806737266*alexander 0.00510820810188*/ 0.00510508430737*second 0.00507851057886*a.,-54.993242481
98,0.0794328848404*edinburgh 0.0221002434012*marcus 0.0158275468*li 0.0133562758647*classics 0.0133562758647*record 0.0133562758647*argentina 0.0133562758647*felipe 0.0133562758647*commentary 0.0132290363545*external 0.00964097978411*david,-55.607594089
99,"0.0362053119141*9, 0.0190335995152*2, 0.0184243745704*larry 0.0172297258227*23, 0.0160390103419*city, 0.0159501858359*taylor 0.0138775058756*episode 0.0123749982199*(may 0.0109966101059*(december 0.0102022004134*(january",-55.6397124277
100,"0.0967090849668*sufi 0.0508547827451*ahmed 0.0488385858042*naqshbandi 0.0449502511586*muhammad 0.0407222267995*khwaja 0.0323775069297*shah 0.0323096459517*bukhara, 0.0297864867692*shaikh 0.0241822967326*buried 0.0188410754481*uzbekistan.",-55.929455948
101,"0.0213287436124*georgia 0.0193217919786*technique 0.0188347580482*critique 0.0162466532682*racial 0.0150990935261*reasons 0.0128852299319*administrative 0.0128852298015*polity 0.0108782784843*griffin, 0.0108218866904*(2006) 0.0106740456816*new",-56.5035618486
102,0.0246180981704*associated 0.0155306404542*2004 0.0139745087967*institutions 0.0128522493728*2009). 0.0118269281462*youth 0.0113446101913*2005). 0.0113161906103*stated 0.0112082521757*cnn. 0.0107754268886*influential 0.0102380643628*audience,-56.542109475
103,0.0406493201893*myth 0.0304689535234*structure 0.0186665923376*mythical 0.0152758982145*work 0.0148660949322*12th 0.0140122515575*integral 0.0136041647023*published 0.0135101452295*university 0.0113705091084*william 0.0110655982504*tarot,-57.1049048187
104,"0.0240544419671*north 0.0200375511436*former 0.0196985669575*vietnam 0.0149676614622*lodge 0.0135844325826*ordered 0.013476665277*forced 0.0133631162456*25, 0.0130845220643*killed 0.0127170282665*soviet 0.0123934760595*1966,",-57.1077859821
105,"0.0234522530526*laërtius, 0.0182195269964*names 0.0180307787553*syndicalism 0.0180307665597*una 0.014639450904*hastings 0.0144226750055*plant 0.0135030335404*un 0.0132226760622*cynic 0.0112923013913*will 0.0108968960411*brooklyn",-57.3190868484
106,0.131539306459*jewish 0.0525975199856*hebrew 0.0408905195063*judaism 0.0331599244447*ben 0.0277881545325*rabbi 0.0269272017226*abraham 0.0246593929517*religious 0.0228722245325*ibn 0.0194843779145*moses 0.017351163371*torah,-57.3852504953
107,"0.0191777127277*production 0.0191301353977*industry 0.0189243430593*composition 0.0160223476055*music, 0.0147444627582*music. 0.0129632106709*proletarian 0.0129557258178*2004. 0.0118764954*marshall 0.0111762091841*2001. 0.0109761663578*lenin",-57.5004156332
108,"0.0221949710839*facts 0.0180972458241*ethics, 0.0180881362439*viking 0.0178085198906*kind 0.0174798936067*problems 0.0147925058347*aspects 0.0146596011851*kinds 0.0112839213503*pattern 0.0109315743194*stevenson 0.0109315743194*imperative",-57.7014415707
109,"0.0661581928113*oxford 0.0542909516209*philosophy, 0.0456710273414*university 0.0417041520924*philosophy 0.0333065528904*philosophical 0.0313308996793*pp. 0.0267369604562*press, 0.0229075520238*ed. 0.0186597144335*college, 0.0170251062782*j.",-58.0336358398
110,0.0903600417212*georges 0.0607945254623*michel 0.0532402931222*writers 0.0340058436791*newspaper 0.0219684245685*ought 0.0174956784226*→ 0.0145871510213*jacques 0.0129505084924*(the 0.0124902194921*books. 0.00895432245635*also,-58.1822411021
111,"0.0361921649085*eric 0.0291037984747*blackwell, 0.0200230787304*basil 0.0198833018139*events 0.0179514196987*university 0.0150876633712*new 0.0145486869019*works 0.0127387166368*stephen 0.0127332184056*other 0.0117075134418*ecology",-58.323044156
112,"0.0337079924422*bruno 0.0278262993258*speculative 0.024484540504*johnson, 0.0138140878483*1979. 0.0112464838937*rambler 0.0112464836499*methodological 0.0112464835942*christina 0.00902020952767*home 0.00837133565369*harman, 0.00837133565369*latour",-58.3988629054
