name,birthyear,birthdate,deathyear
Hillel_Steiner,,,
Naomi_Scheman,,,
Nancy_Sherman,,,
Simon_Lumsden,,,
Ahmad_Vaezi,,,
James_Andrew_Phillips,,,
Nomy_Arpaly,,,
Peggy_DesAutels,,,
Ritu_Birla,,,
Eva_Kittay,,,
Graeme_Nicholson,,,
Valerie_Tiberius,,,
Ofelia_Schutte,,,
Alia_Al-Saji,,,
Carrie_Figdor,,,
Teresa_Blankmeyer_Burke,,,
Mary_Kate_McGowan,,,
Parvis_Emad,,,
Alison_Wray,,,
Holly_Martin_Smith,,,
Jessica_Wilson,,,
Peg_Birmingham,,,
Alison_Jaggar,,,
Helen_Beebee,,,
Bruce_Hoffman,,,
François_Noudelmann,,,
Frances_Egan,,,
Lynne_Tirrell,,,
Susan_Brison,,,
Joan_Callahan,,,
Noëlle_McAfee,,,
Sean_Dorrance_Kelly,,,
Susanne_Sreedhar,,,
Muhammad_Idrees_Dahiri,,,
James_Garson,,,
Sally_Haslanger,,,
Philip_Novak,,,
Carla_Fehr,,,
Henry_S._Richardson_(philosopher),,,
Matthew_Pratt_Guterl,,,
Jason_Brennan,,,
Ann_Garry,,,
Georgia_Warnke,,,
Juliet_Floyd,,,
Carrie_Ichikawa_Jenkins,,,
Mary_Louise_Gill,,,
Leucippus,0005,0005,0005
Pseudo-Dionysius_the_Areopagite,0005,0005,0006
Pseudo-Dionysius_the_Areopagite,0005,0005,0006
Roberta_Klatzky,1947,1947-01-06,
Roberta_Klatzky,1947,1947-01-06,
Homer,0008,0008,
Duran_Çetin,1964,1964-02-15,
Duran_Çetin,1964,1964-02-15,
Douglas_Kutach,1979,1979-11-25,
Douglas_Kutach,1979,1979-11-25,
Zenon_Pylyshyn,0025,0025,
Epictetus,0055,0055,0135
Sextus_Empiricus,0160,0160,0210
Plotinus,0204,0204,0270
Theognostus_of_Alexandria,0210,0210,0270
Porphyry_(philosopher),0234,0234,0305
Iamblichus,0245,0245,0325
Hypatia,0351,0351,0415
Proclus,0412,0412-02-08,0487
Proclus,0412,0412-02-08,0487
Proclus,0412,0412-02-08,0487
Proclus,0412,0412-02-08,0487
Boethius,0480,0480,0524
Antarah_ibn_Shaddad,0525,0525,0608
Mujahid_ibn_Jabr,0642,0642,0722
Sa'id_ibn_Jubayr,0665,0665,0714
Sa'id_ibn_Jubayr,0665,0665,0714
Hisham_ibn_Urwah,0667,0667,0772
Muhammad_al-Shaybani,0749,0749,0805
Al-Jahiz,0776,0776,0868
Ali_ibn_al-Madini,0778,0778,0849
Ali_ibn_al-Madini,0778,0778,0849
Ali_ibn_al-Madini,0778,0778,0849
Ali_ibn_al-Madini,0778,0778,0849
Al-Kindi,0801,0801,0873
Bayazid_Bastami,0804,0804,0874
Johannes_Scotus_Eriugena,0815,0815,0877
Dawud_al-Zahiri,0815,0815,0883
Abu_Zayd_al-Balkhi,0850,0850,0934
Muhammad_ibn_Zakariya_al-Razi,0854,0854,0932
Muhammad_ibn_Zakariya_al-Razi,0854,0854,0932
Al-Mutanabbi,0915,0915,0965
Ibn_Battah,0916,0916,0997
Ibn_Battah,0916,0916,0997
Ibn_Battah,0916,0916,0997
Ibn_Battah,0916,0916,0997
Al-Maʿarri,0973,0973,1057
Mu'ayyad_fi'l-Din_al-Shirazi,1000,1000,1078
Zhou_Dunyi,1017,1017,1073
Cheng_Yi_(philosopher),1033,1033,1107
Omar_Khayyám,1048,1048-05-18,1131
Judah_Halevi,1075,1075,1141
Peter_Abelard,1079,1079,1142
Khoja_Akhmet_Yassawi,1103,1103,1166
Khoja_Akhmet_Yassawi,1103,1103,1166
Ibn_Maḍāʾ,1120,1120,1196
Ibn_Maḍāʾ,1120,1120,1196
Ibn_Maḍāʾ,1120,1120,1196
Ibn_Maḍāʾ,1120,1120,1196
Averroes,1126,1126-04-14,1198
Zhu_Xi,1130,1130-10-18,1200
Maimonides,1137,1137,1204
Maimonides,1137,1137,1204
Moinuddin_Chishti,1141,1141,1236
Moinuddin_Chishti,1141,1141,1236
Ibn_Arabi,1165,1165-07-28,1240
Ibn_Arabi,1165,1165-07-28,1240
Saadi_Shirazi,1210,1184,1291
Saadi_Shirazi,1210,1184,1291
Nahmanides,1194,1194,1270
Abu_Bakr_Ibn_Sayyid_al-Nās,1200,1200,1261
Bar_Hebraeus,1226,1226,1286
Yusuf_ibn_Abd_al-Rahman_al-Mizzi,2014,1256,1342
Yusuf_ibn_Abd_al-Rahman_al-Mizzi,2014,1256,1342
Yusuf_ibn_Abd_al-Rahman_al-Mizzi,2014,1256,1342
Yusuf_ibn_Abd_al-Rahman_al-Mizzi,2014,1256,1342
Kamāl_al-Dīn_al-Fārisī,1265,1260,1318
Kamāl_al-Dīn_al-Fārisī,1265,1260,1318
Meister_Eckhart,1260,1260,1328
Meister_Eckhart,1260,1260,1328
Duns_Scotus,1266,1266,1308
Fatḥ_al-Din_Ibn_Sayyid_al-Nās,1272,1272,1334
Abu'l-Fida,1273,1273,1331
Al-Dhahabi,1274,1274,1348
Al-Dhahabi,1274,1274,1348
Al-Dhahabi,1274,1274,1348
Al-Dhahabi,1274,1274,1348
William_of_Ockham,1287,1287,1347
William_of_Ockham,1287,1287,1347
Abd_al-Husayn_Sharaf_al-Din_al-Musawi,1872,1290,1957
Abd_al-Husayn_Sharaf_al-Din_al-Musawi,1872,1290,1957
Abd_al-Husayn_Sharaf_al-Din_al-Musawi,1872,1290,1957
Abd_al-Husayn_Sharaf_al-Din_al-Musawi,1872,1290,1957
Sayyid_Haydar_Amuli,1319,1319,1385
John_Wycliffe,1331,1320,1384
John_Wycliffe,1331,1320,1384
Nicole_Oresme,1323,1323,1382
Ibn_Abi_al-Izz,1331,1331,1390
Ibn_Rajab,1335,1335,1393
Ibn_Rajab,1335,1335,1393
Ibn_Rajab,1335,1335,1393
Ibn_Rajab,1335,1335,1393
Gemistus_Pletho,1355,1355,1452
Jan_Hus,1369,1369,1415
Ibn_Hajar_al-Asqalani,1372,1372-02-18,1449
Petr_Chelčický,1390,1390,1460
Nicholas_of_Cusa,1401,1401,1464
Muhammad_ibn_Khwand,1433,1433,1498
Johann_Reuchlin,1455,1455-02-22,1522
Johann_Reuchlin,1455,1455-02-22,1522
Giovanni_Pico_della_Mirandola,1463,1463-02-24,1494
Desiderius_Erasmus,1466,1466-10-28,1536
John_Colet,1467,1467-01-15,1519
Guillaume_Budé,1467,1467-01-26,1540
Niccolò_Machiavelli,1469,1469-05-03,1527
Muhammad_Khwandamir,1475,1475,1534
Juan_Luis_Vives,1493,1493-03-06,1540
Paracelsus,1493,1493-12-17,1541
Paracelsus,1493,1493-12-17,1541
Jakob_Schegk,1511,1511-06-06,1587
Gusainji,1516,1516,
Jean_Bodin,1530,1530,1596
Étienne_de_La_Boétie,1530,1530-11-01,1563
Michel_de_Montaigne,1533,1533-02-28,1592
Pierre_Charron,1541,1541,1603
Giordano_Bruno,1548,1548,1600
Francisco_Suárez,1548,1548-01-05,1617
Camillo_Baldi,1550,1550,1637
Cesare_Cremonini_(philosopher),1550,1550-12-22,1631
Abdul-Haqq_Dehlavi,1551,1551,1642
Otto_Casmann,1562,1562,1607
Ahmad_Sirhindi,1564,1564-06-26,1624
Ahmad_Sirhindi,1564,1564-06-26,1624
Mulla_Sadra,1571,1571,1640
Ioannis_Kottounios,1577,1572,1658
Ioannis_Kottounios,1577,1572,1658
Ioannis_Kottounios,1577,1572,1658
Ioannis_Kottounios,1577,1572,1658
Jakob_Böhme,1575,1575,1624
Thomas_Flanginis,1578,1578,1648
Hugo_Grotius,1583,1583-04-10,1645
John_Selden,1584,1584-12-16,1654
Lucilio_Vanini,1585,1585,1619
Thomas_Hobbes,1588,1588-04-05,1679
Pierre_Gassendi,1592,1592-01-22,1655
René_Descartes,1596,1596-03-31,1650
Franciscus_van_den_Enden,1602,1602-02-05,1674
Abd-al-Baqi_al-Zurqani,1611,1611,1688
Abd-al-Baqi_al-Zurqani,1611,1611,1688
Abd-al-Baqi_al-Zurqani,1611,1611,1688
Abd-al-Baqi_al-Zurqani,1611,1611,1688
Yamazaki_Ansai,1619,1619-01-24,1682
Algernon_Sidney,1623,1623-01-15,1683
William_Petty,1623,1623-05-27,1687
William_Petty,1623,1623-05-27,1687
Blaise_Pascal,1623,1623-06-19,1662
Antoine_Le_Grand,1629,1629,1699
John_Locke,1632,1632-08-29,1704
Baruch_Spinoza,1632,1632-11-24,1677
Nicolas_Malebranche,1638,1638-08-06,1715
Muhammad_al-Zurqani,1645,1645,1710
Elena_Cornaro_Piscopia,1646,1646-06-05,1684
Gottfried_Wilhelm_Leibniz,1646,1646-07-01,1716
Pierre_Bayle,1647,1647-11-18,1706
Damaris_Cudworth_Masham,1659,1659-01-18,1708
William_Wollaston,1659,1659-03-26,1724
Gabriel_Wagner,1660,1660,1717
Bernard_Mandeville,1670,1670-11-15,1733
John_Toland,1670,1670-11-30,1722
Yves_Marie_André,1675,1675-05-22,1764
Anthony_Collins,1676,1676-06-21,1729
Christian_Wolff_(philosopher),1679,1679-01-24,1754
George_Berkeley,1685,1685-03-12,1753
Montesquieu,1689,1689-01-18,1755
Francis_Hutcheson_(philosopher),1694,1694-08-08,1746
David_Hartley_(philosopher),1705,1705-08-30,1757
David_Hartley_(philosopher),1705,1705-08-30,1757
Julien_Offray_de_La_Mettrie,1709,1709-11-23,1751
Thomas_Reid,1710,1710-04-26,1796
David_Hume,1711,1711-04-26,1776
David_Hume,1711,1711-04-26,1776
Jean-Jacques_Rousseau,1712,1712-06-28,1778
Denis_Diderot,1713,1713-10-05,1784
Emer_de_Vattel,1714,1714-04-25,1767
Alexander_Gottlieb_Baumgarten,1714,1714-07-17,1762
Étienne_Bonnot_de_Condillac,1714,1714-09-30,1780
Claude_Adrien_Helvétius,1715,1715-02-26,1771
Claude_Adrien_Helvétius,1715,1715-02-26,1771
William_Cleghorn,1719,1719-05-08,1754
George_Campbell_(minister),1719,1719-12-25,1796
Miura_Baien,1723,1723,1789
David_Ruhnken,1723,1723-01-02,1798
Adam_Smith,1723,1723-06-16,1790
Adam_Ferguson,1723,1723-06-20,1816
Baron_d'Holbach,1723,1723-12-08,1789
Immanuel_Kant,1724,1724-04-22,1804
Edmund_Burke,1729,1729-01-12,1797
Anders_Chydenius,1729,1729-02-26,1803
Moses_Mendelssohn,1729,1729-09-06,1786
Johann_Georg_Hamann,1730,1730-08-27,1788
Hong_Dae-yong,1731,1731-05-12,1783
Johannes_Nikolaus_Tetens,1736,1736-09-16,1807
Park_Ji-won,1737,1737-03-05,1836
Park_Ji-won,1737,1737-03-05,1836
Thomas_Paine,1737,1737-02-09,1809
Thomas_Paine,1737,1737-02-09,1809
Park_Ji-won,1737,1737-03-05,1836
Park_Ji-won,1737,1737-03-05,1836
Sachal_Sarmast,1739,1739,1829
Marquis_de_Sade,1740,1740-06-02,1814
John_Cartwright_(political_reformer),1740,1740-09-17,1824
Christian_Garve,1742,1742-01-07,1798
Ghulam_Ali_Dihlawi,1743,1743,1824
Ghulam_Ali_Dihlawi,1743,1743,1824
Friedrich_Heinrich_Jacobi,1743,1743-01-25,1819
Johann_Gottfried_Herder,1744,1744-08-25,1803
Shah_Abdul_Aziz,1745,1745,1823
Johann_Heinrich_Pestalozzi,1746,1746-01-12,1827
Adam_Weishaupt,1748,1748-02-07,1830
Adam_Weishaupt,1748,1748-02-07,1830
Jeremy_Bentham,1748,1748-02-15,1832
Adamantios_Korais,1748,1748-04-27,1833
Joseph_de_Maistre,1753,1753-04-01,1821
Christian_Jakob_Kraus,1753,1753-07-27,1807
Louis_Gabriel_Ambroise_de_Bonald,1754,1754-10-02,1840
Salomon_Maimon,1754,1754,1800
Salomon_Maimon,1754,1754,1800
Louis_Gabriel_Ambroise_de_Bonald,1754,1754-10-02,1840
Rigas_Feraios,1757,1757,1798
Karl_Leonhard_Reinhold,1757,1757-10-26,1823
"Claude_Henri_de_Rouvroy,_comte_de_Saint-Simon",1760,1760-10-17,1825
Johann_Gottlieb_Fichte,1762,1762-05-19,1814
Maine_de_Biran,1766,1766-11-29,1824
Wilhelm_von_Humboldt,1767,1767-06-22,1835
Francois-Joseph_Servois,1767,1767-07-19,1847
Francois-Joseph_Servois,1767,1767-07-19,1847
Karl_Ludwig_von_Haller,1768,1768-08-01,1854
Friedrich_Schleiermacher,1768,1768-11-21,1834
Georg_Wilhelm_Friedrich_Hegel,1770,1770-08-27,1831
Charles_Fourier,1772,1772-04-07,1837
James_Mill,1773,1773-04-08,1836
James_Mill,1773,1773-04-08,1836
William_Thompson_(philosopher),1775,1775-06-30,1883
William_Thompson_(philosopher),1775,1775-06-30,1883
Yu_Zhengxie,1775,1775,1840
Friedrich_Wilhelm_Joseph_Schelling,1775,1775-01-27,1854
William_Thompson_(philosopher),1775,1775-06-30,1883
William_Thompson_(philosopher),1775,1775-06-30,1883
Johann_Friedrich_Herbart,1776,1776-05-04,1841
Friedrich_Carl_von_Savigny,1779,1779-02-21,1861
Bernard_Bolzano,1781,1781-10-05,1848
Friedrich_Fröbel,1782,1782-04-21,1852
Theoklitos_Farmakidis,1784,1784-01-15,1860
Theophilos_Kairis,1784,1784-10-19,1853
Arthur_Schopenhauer,1788,1788-02-22,1860
"Sir_William_Hamilton,_9th_Baronet",1788,1788-03-08,1856
John_Austin_(legal_philosopher),1790,1790-03-03,1859
Samuel_Bailey,1791,1791-07-05,1870
Franz_Bopp,1791,1791-09-14,1867
Ernst_Christian_Gottlieb_Reinhold,1793,1793-10-18,1855
Immanuel_Hermann_Fichte,1796,1796-07-18,1879
Josiah_Warren,1798,1798,1874
Auguste_Comte,1798,1798-01-19,1857
Giacomo_Leopardi,1798,1798-06-29,1837
Rudolf_Sutermeister,1802,1802-05-07,1868
Rudolf_Sutermeister,1802,1802-05-07,1868
Friedrich_Adolf_Trendelenburg,1802,1802-11-30,1872
Ralph_Waldo_Emerson,1803,1803-05-25,1882
Ludwig_Feuerbach,1804,1804-07-28,1872
James_Martineau,1805,1805-04-21,1900
Giuseppe_Mazzini,1805,1805-06-22,1872
Alexis_de_Tocqueville,1805,1805-07-29,1859
Hermann_Ulrici,1806,1806-03-23,1884
John_Stuart_Mill,1806,1806-05-20,1873
Max_Stirner,1806,1806-10-25,1856
José_de_Espronceda,1808,1808-03-25,1842
Johann_Gustav_Droysen,1808,1808-07-06,1884
Victor_Prosper_Considerant,1808,1808-10-12,1893
Pierre-Joseph_Proudhon,1809,1809-01-15,1865
Bruno_Bauer,1809,1809-09-06,1882
Louis_Blanc,1811,1811-10-29,1882
Alexander_Herzen,1812,1812-04-06,1870
Adolph_Peter_Adler,1812,1812-08-29,1869
Søren_Kierkegaard,1813,1813-05-05,1855
Félix_Ravaisson-Mollien,1813,1813-10-23,1900
Petar_II_Petrović-Njegoš,1813,1813-11-13,1851
Jules_Lequier,1814,1814-01-30,1862
Mikhail_Bakunin,1814,1814-05-30,1876
Charles_Bernard_Renouvier,1815,1815-01-01,1903
Antoine_Blanc_de_Saint-Bonnet,1815,1815-01-28,1880
George_Boole,1815,1815-11-02,1864
Bertrando_Spaventa,1817,1817-06-26,1883
Hermann_Lotze,1817,1817-05-21,1881
Bertrando_Spaventa,1817,1817-06-26,1883
Henry_David_Thoreau,1817,1817-07-12,1862
Syed_Ahmad_Khan,1817,1817-10-17,1898
Karl_Marx,1818,1818-05-05,1883
Rudolf_von_Jhering,1818,1818-08-22,1892
Herbert_Spencer,1820,1820-04-27,1903
Friedrich_Engels,1820,1820-11-28,1895
August_Schleicher,1821,1821-02-19,1868
Ernest_Renan,1823,1823-02-28,1892
Pyotr_Lavrov,1823,1823-06-14,1900
Kuno_Fischer,1824,1824-07-23,1907
Jyotirao_Phule,1827,1827-04-11,1890
Friedrich_Albert_Lange,1828,1828-09-28,1875
Joseph_Dietzgen,1828,1828-12-09,1888
Joseph_Dietzgen,1828,1828-12-09,1888
Nikolai_Fyodorovich_Fyodorov,1829,1829-06-09,1903
Christoph_von_Sigwart,1830,1830-03-28,1904
Michel_Bréal,1832,1832-03-26,1915
Muhammad_Qasim_Nanotvi,1833,1833,1880
Vasile_Pogor,1833,1833-08-20,1906
Wilhelm_Dilthey,1833,1833-11-19,1911
Thomas_Hill_Green,1836,1836-04-07,1882
Francis_Ellingwood_Abbot,1836,1836-11-06,1903
"Victoria,_Lady_Welby",1837,1837-04-27,1912
African_Spir,1837,1837-11-15,1890
African_Spir,1837,1837-11-15,1890
Franz_Brentano,1838,1838-01-16,1917
Henry_Sidgwick,1838,1838-05-31,1900
August_Leskien,1840,1840-07-08,1916
George_Sylvester_Morris,1840,1840-11-15,1889
Philipp_Mainländer,1841,1841-10-05,1876
William_E._Blackstone,1841,1841-10-06,1935
William_James,1842,1842-01-11,1910
Josef_Breuer,1842,1842-01-15,1925
Karl_Robert_Eduard_von_Hartmann,1842,1842-02-23,1906
George_Croom_Robertson,1842,1842-03-10,1892
John_Fiske_(philosopher),1842,1842-03-30,1901
Peter_Kropotkin,1842,1842-12-21,1921
Peter_Kropotkin,1842,1842-12-21,1921
Antonio_Labriola,1843,1843-07-02,1904
Richard_Avenarius,1843,1843-11-19,1896
Friedrich_Nietzsche,1844,1844-10-15,1900
Jan_Baudouin_de_Courtenay,1845,1845-03-13,1929
Émile_Boutroux,1845,1845-07-28,1921
Rudolf_Christoph_Eucken,1846,1846-01-05,1926
F._H._Bradley,1846,1846-01-30,1924
Svetozar_Marković,1846,1846-09-21,1875
Svetozar_Marković,1846,1846-09-21,1875
Georges_Sorel,1847,1847-11-02,1922
Carl_Stumpf,1848,1848-04-21,1936
Wilhelm_Windelband,1848,1848-05-11,1915
Gottlob_Frege,1848,1848-11-08,1925
Syed_Ameer_Ali,1849,1849,1928
Karl_Brugmann,1849,1849-03-16,1919
Paul_Souriau,1852,1852-10-21,1926
Georg_Wenker,1852,1852-01-25,1911
Mitrofan_Lodyzhensky,1852,1852-02-27,1917
Hans_Vaihinger,1852,1852-09-25,1933
Paul_Souriau,1852,1852-10-21,1926
Vladimir_Solovyov_(philosopher),1853,1853-01-28,1900
Alexius_Meinong,1853,1853-07-17,1920
Karl_Kautsky,1854,1854-10-16,1938
Jean-Marie_Guyau,1854,1854-10-28,1888
Josiah_Royce,1855,1855-11-20,1916
Vasily_Rozanov,1856,1856-05-02,1919
A._D._Gordon,1856,1856-06-09,1922
Gajanan_Maharaj,1857,1857,
Shibli_Nomani,1857,1857-06-03,1914
Ferdinand_de_Saussure,1857,1857-11-26,1913
Georg_Simmel,1858,1858-03-01,1918
Gaetano_Mosca,1858,1858-04-01,1941
Samuel_Alexander,1859,1859-01-06,1938
Émile_Meyerson,1859,1859-02-12,1933
Edmund_Husserl,1859,1859-04-08,1938
Lazăr_Șăineanu,1859,1859-04-23,1934
Christian_von_Ehrenfels,1859,1859-06-02,1932
Henri_Bergson,1859,1859-10-18,1941
John_Dewey,1859,1859-10-20,1952
Alejandro_Korn,1860,1860-05-03,1936
Juan_Vázquez_de_Mella,1861,1861-06-08,1928
Tajuddin_Muhammad_Badruddin,1861,1861-01-27,1925
Alfred_North_Whitehead,1861,1861-02-15,1947
Rudolf_Steiner,1861,1861-02-25,1925
William_Bell_Riley,1861,1861-03-22,1929
William_Mitchell_(philosopher),1861,1861-03-27,1962
Juan_Vázquez_de_Mella,1861,1861-06-08,1928
Pierre_Duhem,1861,1861-06-09,1916
Maurice_Blondel,1861,1861-11-02,1949
Han_Ryner,1861,1861-12-07,1938
T._T._Martin,1862,1862,1939
Constantin_Brunner,1862,1862-08-27,1937
Georges_Palante,1862,1862-11-20,1925
George_Herbert_Mead,1863,1863-02-27,1931
Heinrich_Rickert,1863,1863-05-25,1936
George_Santayana,1863,1863-12-16,1952
F._C._S._Schiller,1864,1864-08-16,1937
Charles_Cooley,1864,1864-08-17,1929
Abdulhakim_Arvasi,1865,1865,1943
Tan_Sitong,1865,1865-03-10,1898
Arthur_Drews,1865,1865-11-01,1935
George_Gurdjieff,1866,1866-01-13,1949
